                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.90868,                0.67077,                   1.08,                0.98286,                      1,                  0.995,                0.81651,                0.77826,                0.41319,                 1.0245,               0.006535,               0.006535,               0.006535
                     37,                0.73948,                0.61531,                0.96912,                0.97216,                      1,                  0.995,                0.85826,                0.64727,                0.43842,                 1.0106,               0.006436,               0.006436,               0.006436
                     38,                0.88044,                0.68875,                 1.0265,                0.97254,                      1,                  0.995,                 0.8033,                0.78274,                0.51633,                 1.0743,               0.006337,               0.006337,               0.006337
                     39,                0.80945,                0.57118,                 1.0254,                0.96546,                      1,                  0.995,                0.82818,                0.69765,                0.44197,                  1.024,               0.006238,               0.006238,               0.006238
                     40,                0.80576,                0.58758,                 1.0772,                0.98289,                      1,                  0.995,                0.79067,                0.71479,                0.45936,                0.99225,               0.006139,               0.006139,               0.006139
                     41,                0.71614,                0.53853,                0.98158,                 0.9803,                      1,                  0.995,                0.81353,                0.70628,                0.47586,                0.97818,                0.00604,                0.00604,                0.00604
                     42,                0.82394,                0.63903,                0.99745,                0.97988,                      1,                  0.995,                0.83538,                0.69118,                0.40663,                 0.9821,               0.005941,               0.005941,               0.005941
                     43,                0.78918,                0.54393,                 1.0456,                0.95375,                0.99938,                  0.995,                0.80321,                0.80081,                0.37302,                 1.0465,               0.005842,               0.005842,               0.005842
                     44,                0.80589,                0.56011,                0.99898,                0.96837,                      1,                  0.995,                0.83823,                0.64866,                0.41129,                 1.0024,               0.005743,               0.005743,               0.005743
                     45,                0.85099,                0.58226,                 1.0719,                0.97795,                      1,                  0.995,                0.81816,                0.69519,                0.41489,                 1.0134,               0.005644,               0.005644,               0.005644
                     46,                0.75308,                0.52939,                0.99727,                 0.9479,                 0.9935,                  0.995,                 0.8512,                0.60944,                0.41924,                0.97463,               0.005545,               0.005545,               0.005545
                     47,                0.82756,                0.66617,                 1.0457,                0.97224,                      1,                  0.995,                0.87539,                0.64726,                0.41609,                0.98254,               0.005446,               0.005446,               0.005446
                     48,                0.81165,                0.63487,                0.98356,                0.96304,                      1,                  0.995,                0.79576,                0.71263,                0.35237,                0.99619,               0.005347,               0.005347,               0.005347
                     49,                0.74866,                0.56708,                 1.0124,                0.97584,                      1,                  0.995,                 0.8171,                0.78405,                0.41187,                 1.0134,               0.005248,               0.005248,               0.005248
                     50,                0.73647,                0.50763,                0.98282,                0.98171,                      1,                  0.995,                0.87541,                0.77812,                0.38669,                 1.0149,               0.005149,               0.005149,               0.005149
                     51,                0.81148,                0.55104,                 1.0502,                0.97458,                0.99507,                  0.995,                0.77157,                0.88388,                0.43536,                  1.083,                0.00505,                0.00505,                0.00505
                     52,                0.76247,                0.61488,                 1.0228,                0.98531,                      1,                  0.995,                 0.7523,                0.90249,                0.42416,                  1.104,               0.004951,               0.004951,               0.004951
                     53,                0.76712,                0.50116,                0.99463,                0.98577,                      1,                  0.995,                0.76327,                0.96061,                0.45872,                  1.121,               0.004852,               0.004852,               0.004852
                     54,                0.87425,                0.58354,                 1.0809,                0.98373,                      1,                  0.995,                0.77026,                0.87391,                0.46785,                 1.0834,               0.004753,               0.004753,               0.004753
                     55,                0.74923,                0.53295,                0.98433,                0.97805,                      1,                  0.995,                0.77032,                  0.851,                0.45205,                 1.0769,               0.004654,               0.004654,               0.004654
                     56,                0.68844,                0.47749,                0.98588,                 0.9689,                      1,                  0.995,                0.81537,                0.84071,                0.38953,                 1.0708,               0.004555,               0.004555,               0.004555
